Ranking,Country Code,Location,Consumption(GWh/yr),Year,Source,Population,As of,Consumption per capita kWh/yr,Watts
47,CHE,Switzerland,"58,000",2021[4],EIA,"8,691,409",2021[5],6673,761
89,SYR,Syria,"13,000",2021[4],EIA,"21,324,366",2021[5],610,70
18,TWN,Taiwan,"278,000",2021[4],EIA,"23,859,904",2021[5],11651,1329
81,TJK,Tajikistan,"16,000",2021[4],EIA,"9,750,078",2021[5],1641,187
114,TZA,Tanzania,"7,200",2021[4],EIA,"63,588,332",2021[5],113,13
22,THA,Thailand,"203,000",2021[4],EIA,"71,601,104",2021[5],2835,323
186,TLS,Timor-Leste,400,2021[4],EIA,"1,320,944",2021[5],303,35
155,TGO,Togo,"1,200",2021[4],EIA,"8,644,829",2021[5],139,16
210,TON,Tonga,51.15,2018 est.,EIA,"104,490",2019,490,56
107,TTO,Trinidad and Tobago,"8,300",2021[4],EIA,"1,525,671",2021[5],5440,621
79,TUN,Tunisia,"16,000",2021[4],EIA,"12,262,949",2021[5],1305,149
16,TUR,Turkey,"284,000",2021[4],EIA,"84,775,408",2021[5],3350,382
83,TKM,Turkmenistan,"15,000",2021[4],EIA,"6,341,850",2021[5],2365,270
192,TCA,Turks and Caicos Islands,300,2021[4],EIA,"45,141",2021[5],6646,758
180,UMI,U.S. Pacific Islands,500,2021[4],EIA,,,,
170,VI,U.S. Virgin Islands,600,2021[4],EIA,"100,100",2021[5],5994,684
137,UGA,Uganda,"3,100",2021[4],EIA,"45,853,780",2021[5],68,8
27,UKR,Ukraine,"134,000",2021[4],EIA,"43,531,424",2021[5],3078,351
31,ARE,United Arab Emirates,"129,000",2021[4],EIA,"9,365,149",2021[5],13774,1571
15,GBR,United Kingdom,"287,000",2021[4],EIA,"67,281,040",2021[5],4266,487
2,USA,United States,"3,979,000",2021[4],EIA,"336,997,632",2021[5],11267,1285
88,URY,Uruguay,"14,000",2021[4],EIA,"3,426,265",2021[5],4086,466
48,UZB,Uzbekistan,"58,000",2021[4],EIA,"34,081,452",2021[5],1702,194
209,VUT,Vanuatu,65.19,2018 est.,EIA,"299,880",2019,217,25
41,VEN,Venezuela,"71,000",2021[4],EIA,"28,199,862",2021[5],2518,287
21,VNM,Vietnam,"229,000",2021[4],EIA,"97,468,024",2021[5],2349,268
138,YEM,Yemen,"2,900",2021[4],EIA,"32,981,644",2021[5],88,10
87,ZMB,Zambia,"14,000",2021[4],EIA,"19,473,132",2021[5],719,82
108,ZWE,Zimbabwe,"8,300",2021[4],EIA,"15,993,525",2021[5],519,59
